ID_Record,Log ID,Time Stamp,User ID,IP Address,Hostname,Log Level,Status,Reference ID,Source,Log Error Code,Log Error Code Description
88,331928634,2017-02-05,U042776,130.221.33.166,fvz60z0ko8.com,NORMAL,Queued,R015906,Database,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
953,552379261,2022-07-04,U006611,206.71.197.238,m5qialq27o.com,DEBUG,Failed,R026196,Scheduler,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
157,186247514,2023-01-08,U052848,237.51.100.184,52jqklg8f5ou3ob.com,NORMAL,In Progress,R052166,Device,412 Precondition Failed,Indicates that one or more conditions in the request header fields evaluated to false.
356,652408919,2018-05-20,U099324,108.103.141.37,qqeq3dqpr96.com,INFO,Pending,R029659,User,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
846,404806467,2022-05-09,U007053,151.97.160.83,hnwv6db6.com,CRITICAL,Warning,R092136,Application,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
101,149188272,2020-07-07,U019005,95.170.31.70,spl19d1an7.com,NORMAL,Pending,R089400,Application,412 Precondition Failed,Indicates that one or more conditions in the request header fields evaluated to false.
356,719858405,2016-03-17,U007827,137.14.97.63,zsntzapls2cbd68.com,ERROR,Timed Out,R091608,Application,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
328,916432359,2016-08-13,U084442,197.8.157.92,34jatk2emzz.com,NORMAL,In Progress,R002988,Database,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
228,130117673,2022-01-19,U097504,83.157.239.20,h5mzrpzn.com,INFO,Pending,R085591,Scheduler,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
194,516612750,2013-03-18,U036163,57.216.249.99,zqrvj3yv9g0jl.com,ERROR,Timed Out,R001564,External Service,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
71,895940935,2018-09-21,U078688,145.37.224.2,jglc3t90yxyqs.com,ERROR,Warning,R063273,External Service,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
996,924892847,2013-03-07,U077863,130.103.158.10,y22g7p1437ht44.com,NORMAL,Completed Successfully,R005605,Network,412 Precondition Failed,Indicates that one or more conditions in the request header fields evaluated to false.
886,398417932,2012-01-24,U038449,193.0.247.98,q74bkief.com,NORMAL,Pending,R053193,Security System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
337,883325465,2019-12-18,U054619,65.243.233.238,rt5c8m5kv6e.com,DEBUG,Timed Out,R007045,Database,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
619,661510109,2015-12-15,U089881,175.226.191.128,qvmus4n.com,ERROR,Warning,R077554,Scheduler,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
915,137027349,2016-01-21,U075324,116.172.249.152,1ujb3cgv420zov.com,NORMAL,In Progress,R073085,Device,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
623,863242781,2022-10-01,U046333,112.23.25.13,aijuxtbznuzzupw.com,NORMAL,Queued,R057950,Device,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
440,102110669,2021-10-27,U037685,145.122.194.230,t79s3w7q.com,WARNING,Timed Out,R030458,Database,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
651,152307320,2024-01-20,U073170,190.18.188.118,iyocf7u.com,NORMAL,Queued,R048606,System,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
92,173182741,2021-10-13,U078765,212.35.213.92,pfnrid6lwab.com,NORMAL,Pending,R016013,User,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
938,653222175,2018-09-03,U057099,78.0.151.231,bsahb6aau.com,NORMAL,Queued,R054845,Error Handler,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
950,941336976,2022-03-13,U081836,26.34.110.211,z4fkczh05tx.com,NORMAL,Queued,R008164,Scheduler,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
986,323152176,2015-06-03,U055022,62.153.90.52,a7xs8cx.com,WARNING,Failed,R007447,Security System,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
66,289593483,2016-11-24,U003899,99.133.187.107,j8ok9gp.com,ERROR,Warning,R075938,Database,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
710,682646716,2010-01-15,U094375,162.136.109.200,hzpl4jaeg0w0.com,ERROR,Timed Out,R051254,Error Handler,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
619,515915861,2019-03-26,U054302,253.223.127.170,nm4j71ame46942.com,ERROR,Cancelled,R061135,System,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
845,140130096,2011-12-19,U000749,10.107.221.72,945enotoo8i.com,NORMAL,Queued,R029403,System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
343,942164071,2013-02-16,U039985,180.228.70.89,jt6zgvu5evkgf.com,NORMAL,In Progress,R026921,Application,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
813,539026610,2014-10-31,U059581,203.140.97.106,dmpzzhe2k3ssd31.com,NORMAL,Queued,R062728,External Service,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
708,337504313,2010-06-02,U051485,149.255.156.70,0qhoz7f.com,NORMAL,Queued,R012606,Application,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
659,868007008,2013-08-05,U084448,199.249.93.97,yy8te9zrwjg.com,NORMAL,Completed Successfully,R084090,Database,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
853,695206844,2013-02-27,U093290,46.224.94.48,lil89r0rfb4cm7c.com,ERROR,Warning,R073012,Security System,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
441,557951322,2020-04-20,U067600,163.196.48.66,a643ulz1i.com,NORMAL,In Progress,R076861,Network,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
6,885219342,2024-01-19,U086773,113.251.253.20,7m59kb8ku8upjhf.com,NORMAL,In Progress,R082162,Database,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
233,260046128,2013-12-08,U011374,87.193.3.86,kzf4mjm.com,CRITICAL,Timed Out,R057749,Application,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
346,345083187,2017-01-10,U061476,113.235.137.228,6j9qvbmuzgk3y.com,NORMAL,Queued,R041185,Application,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
273,328511083,2016-12-05,U016023,24.64.112.11,iqheager.com,NORMAL,Pending,R038002,External Service,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
818,729405917,2018-12-09,U017412,191.178.222.207,u9wma7vinox.com,NORMAL,Queued,R081629,System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
953,486680889,2010-03-16,U069587,13.56.68.107,mkkyxxyrv0e7o7a.com,NORMAL,Pending,R030040,User,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
445,287436523,2017-09-05,U073821,96.140.207.63,0myd02teq29m.com,INFO,Pending,R013901,User,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
717,724595507,2016-11-19,U097773,162.244.73.226,dzudfrq.com,NORMAL,Completed Successfully,R007939,Device,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
109,559598488,2022-07-15,U098698,246.202.184.200,obueo47.com,WARNING,Cancelled,R028896,Error Handler,408 Request Timeout,Occurs when the server times out waiting for the request from the client.
206,998608035,2024-01-21,U087104,212.230.210.79,lmzbrsa3.com,CRITICAL,Timed Out,R088034,Device,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
933,507793227,2016-01-13,U047573,251.79.218.101,lhbplogp25l8aln.com,NORMAL,In Progress,R090492,Scheduler,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
454,666773046,2022-04-02,U068676,57.129.28.226,11ctoc0.com,NORMAL,Pending,R096400,Network,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
278,324248759,2022-08-26,U048671,152.104.8.161,bazj52ztdu5gfzn.com,INFO,Queued,R078684,System,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
928,163777791,2019-12-24,U043042,36.131.79.129,i9t1ix844n.com,NORMAL,Queued,R008103,User,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
710,193150766,2022-03-17,U073962,199.72.80.177,ldeqcx4vol.com,NORMAL,Pending,R087035,Scheduler,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
596,793675843,2023-03-05,U012670,247.21.22.171,v5m41clkpt.com,NORMAL,Queued,R082840,Device,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
472,695569142,2018-11-09,U048270,240.161.143.121,vk694m3.com,WARNING,Warning,R036469,Error Handler,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
130,651979516,2018-12-19,U022408,97.62.140.128,yvcad1xrurqc1.com,INFO,Pending,R053565,Security System,410 Gone,Indicates that the resource requested is no longer available and will not be available again.
277,244624050,2010-03-23,U091098,104.146.63.114,o3kcdefss.com,NORMAL,Pending,R036635,Scheduler,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
639,614418582,2018-11-17,U005307,253.221.78.14,t9pi3q7i9p2xm.com,NORMAL,In Progress,R052688,Error Handler,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
215,780455597,2023-12-15,U098180,223.166.156.146,ff4xzvbon9cysj.com,WARNING,Timed Out,R099783,User,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
547,369380848,2013-01-11,U088109,242.134.5.52,74b0gjbld.com,CRITICAL,Timed Out,R050208,Device,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
593,685991893,2011-09-14,U070966,202.215.113.196,ntc6eghh0mhfu2.com,NORMAL,Pending,R022445,User,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
126,710166581,2014-01-22,U097873,165.215.95.79,52kuzftvkgb.com,NORMAL,Completed Successfully,R009752,Device,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
422,879671451,2014-02-07,U064996,44.67.229.20,wcrkveh.com,NORMAL,Pending,R074108,Scheduler,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
699,436375084,2021-02-13,U016159,122.172.160.223,7a7jbvyi2km16j.com,NORMAL,Completed Successfully,R078868,External Service,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
640,911901910,2018-10-02,U004055,203.144.14.47,v73tmaj.com,NORMAL,Completed Successfully,R008860,User,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
912,645850669,2020-10-19,U072518,138.27.8.107,28bf1t7js1czp.com,INFO,Pending,R001607,Security System,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
713,502276139,2017-06-02,U054221,63.239.59.21,o75q42fuhqzhu6f.com,WARNING,Timed Out,R045115,Application,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
988,109536529,2014-06-12,U049812,115.101.135.188,8sd1d06mmg5in.com,NORMAL,Completed Successfully,R026908,User,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
840,505319972,2023-10-08,U007342,151.53.77.57,kav4yrul2r7mlz.com,NORMAL,In Progress,R077392,Error Handler,410 Gone,Indicates that the resource requested is no longer available and will not be available again.
121,893741467,2010-06-06,U059456,240.207.170.165,mpcm0hg91.com,WARNING,Timed Out,R013431,System,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
874,505210434,2013-07-30,U058893,99.122.231.135,nnpwdzvadd4d7.com,NORMAL,Completed Successfully,R019815,Scheduler,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
641,352384556,2017-05-21,U064953,135.17.156.25,kfe93xn3w1.com,NORMAL,In Progress,R015010,External Service,408 Request Timeout,Occurs when the server times out waiting for the request from the client.
807,935714136,2011-11-26,U050295,57.37.104.85,kp5ys38ji.com,NORMAL,Completed Successfully,R098302,Network,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
990,669944303,2020-08-07,U043021,3.190.70.151,vm5cx831lrcgl.com,NORMAL,In Progress,R075091,Error Handler,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
557,988691086,2023-01-10,U003451,57.18.192.137,95e0oink.com,NORMAL,Pending,R005648,External Service,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
509,922839106,2013-03-29,U064462,51.159.237.59,3bckuzp03v19dt6.com,DEBUG,Timed Out,R027353,Application,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
438,815099939,2020-01-12,U055036,84.52.23.89,9cth8atoscj.com,ERROR,Timed Out,R032764,Device,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
909,141674250,2017-07-12,U085084,67.189.71.30,5khu3dq4bu9u.com,NORMAL,Completed Successfully,R028594,System,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
530,321113767,2021-04-14,U011250,104.212.9.47,3l1jjei4dwwzpx.com,ERROR,Timed Out,R013723,User,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
835,739646477,2017-08-15,U057483,30.146.31.148,blm7u5z.com,INFO,Pending,R042126,Device,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
545,797082669,2011-09-24,U082535,141.165.9.40,1meos6v5jiru.com,NORMAL,Completed Successfully,R002228,Application,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
838,179745187,2018-11-09,U050973,104.128.96.55,hczs83z8lv28i.com,DEBUG,Failed,R056893,Device,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
691,630804860,2021-05-07,U026385,43.220.248.226,qminw9a9x.com,NORMAL,Queued,R044701,Device,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
129,547016990,2021-12-19,U006526,44.46.243.82,ha7fef5ro08p4.com,NORMAL,Queued,R067827,Application,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
512,947900042,2022-11-14,U068458,207.183.165.170,2bhoidhsps59.com,NORMAL,In Progress,R038805,External Service,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
585,266368209,2016-03-25,U066783,26.177.253.105,04ap5p2so36bdn.com,INFO,Queued,R060188,Scheduler,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
847,305125074,2014-04-12,U065793,243.243.70.44,58v5jqbr8g.com,INFO,Queued,R007242,System,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
529,430619819,2016-03-14,U065704,255.30.109.208,l8zsu6kjrsxhca.com,NORMAL,Queued,R042794,Application,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
308,436386612,2019-10-04,U000837,215.231.80.238,0oekfeboqxfx95w.com,NORMAL,In Progress,R035137,Error Handler,410 Gone,Indicates that the resource requested is no longer available and will not be available again.
96,157442383,2020-03-07,U076288,17.248.211.248,u5r596fjuw.com,NORMAL,In Progress,R055277,Database,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
879,991934903,2021-10-09,U035066,95.4.93.25,gvxd24rxm.com,CRITICAL,Cancelled,R064449,Network,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
377,967851830,2013-10-30,U085205,175.35.184.62,hayjsch5tw30.com,NORMAL,Queued,R003275,Security System,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
777,468763875,2020-09-05,U011610,27.117.162.122,za1mk2m4w45.com,INFO,Queued,R035709,Scheduler,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
530,749087248,2019-02-10,U018852,71.166.167.164,gt8ftfanh.com,CRITICAL,Failed,R059773,External Service,408 Request Timeout,Occurs when the server times out waiting for the request from the client.
154,752432170,2021-07-06,U044221,112.114.81.4,0yotcsv4ts7.com,NORMAL,Queued,R072873,Database,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
7,528327367,2011-07-31,U051766,166.54.71.187,0ggwwnpwrti2t.com,NORMAL,Completed Successfully,R096754,User,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
367,671472435,2023-04-14,U028676,118.25.204.252,5n0cm750ertrn7k.com,NORMAL,In Progress,R031717,Database,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
10,539267106,2023-09-30,U068276,235.249.136.141,ryocvv7jb.com,WARNING,Failed,R017068,External Service,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
927,562447534,2020-09-01,U099093,99.148.152.188,jm3ohmt2.com,CRITICAL,Warning,R033105,User,404 Not Found,Logs when a requested resource could not be found on the server. Commonly occurs when a URL is mistyped or a page has been removed.
602,730881429,2014-04-21,U051605,19.229.238.64,yn55xjsu.com,ERROR,Failed,R090908,Scheduler,413 Payload Too Large,Occurs when the request entity is larger than limits defined by server; the server might close the connection or return a Retry-After header field.
698,376085157,2019-09-22,U008466,111.186.241.247,p8mi16xt6jxda.com,CRITICAL,Cancelled,R063283,User,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
421,519364531,2016-04-25,U004574,73.251.161.50,t107p0h1s8b.com,INFO,Queued,R010086,Scheduler,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
485,444960199,2017-12-26,U041427,8.199.248.161,hvcbmzgrt49pecb.com,NORMAL,Queued,R096332,Scheduler,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
810,677062195,2017-10-20,U019390,226.163.10.182,o3g0as5ybyvll.com,WARNING,Cancelled,R024421,Security System,412 Precondition Failed,Indicates that one or more conditions in the request header fields evaluated to false.
871,964020144,2021-04-14,U099637,32.80.46.58,qdrp4sp7u.com,NORMAL,Queued,R084730,User,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
670,586017173,2014-04-22,U094533,66.49.148.15,tyj4i7x.com,NORMAL,Queued,R012188,Application,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
849,437678508,2022-03-09,U029532,80.102.150.46,kcg2w7wpbg21h35.com,DEBUG,Failed,R056207,Application,401 Unauthorized,Occurs when authentication is required and has failed or has not been provided yet.
552,507908116,2016-07-28,U089584,24.190.177.119,bxt8frkix2atmpi.com,CRITICAL,Timed Out,R090098,User,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
823,829154194,2018-01-09,U027222,42.236.217.87,b2831tr7u09gbq1.com,NORMAL,Pending,R015921,Error Handler,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
996,511532506,2019-09-08,U024615,28.27.162.74,b2pz8gciwy.com,NORMAL,Queued,R060148,System,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
230,463361596,2021-03-28,U042405,166.1.68.230,1wd3pdv2f5sq.com,NORMAL,Pending,R065849,Device,503 Service Unavailable,"Indicates that the server is not ready to handle the request, typically due to temporary overloading or maintenance."
167,290174236,2018-10-15,U070846,150.75.203.87,sjaeug2pg.com,NORMAL,In Progress,R014864,External Service,408 Request Timeout,Occurs when the server times out waiting for the request from the client.
744,289783093,2011-10-21,U008681,28.70.129.29,8gehtnj.com,DEBUG,Timed Out,R055539,Security System,408 Request Timeout,Occurs when the server times out waiting for the request from the client.
587,182894860,2017-12-23,U022083,1.244.92.106,ehwrv8l0yz9.com,NORMAL,Pending,R097402,Network,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
101,277390440,2023-11-12,U091268,47.124.143.171,x3teg9gtb1.com,NORMAL,Pending,R024520,Network,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
859,560666283,2022-01-30,U058954,83.79.26.18,j9u42gicwmgayee.com,NORMAL,Completed Successfully,R018989,User,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
141,436501212,2012-09-14,U081720,253.163.3.90,3llgw35kn.com,NORMAL,In Progress,R034581,Database,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
263,951920218,2014-05-28,U074563,50.20.184.106,jop29kc679y6r.com,NORMAL,Completed Successfully,R068825,User,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
386,759893549,2013-05-27,U003474,133.126.59.115,jkpdj6j8fq6gkx.com,NORMAL,Pending,R018856,Database,404 Not Found,Logs when a requested resource could not be found on the server. Commonly occurs when a URL is mistyped or a page has been removed.
830,878832009,2021-04-17,U025417,95.210.70.96,jad5rhps2.com,NORMAL,Pending,R064472,Device,502 Bad Gateway,"Logged when the server, while acting as a gateway or proxy, received an invalid response from the upstream server."
252,964331665,2013-07-26,U062214,19.32.244.22,uoulzie6ryi31yx.com,CRITICAL,Failed,R072569,External Service,400 Bad Request,"Indicates that the server cannot or will not process the request due to a client error (e.g., malformed request syntax)."
345,602633117,2016-11-09,U076572,168.77.217.14,lvx3gnp3l.com,CRITICAL,Timed Out,R094141,User,500 Internal Server Error,Indicates a generic error message when the server encounters an unexpected condition that prevents it from fulfilling the request.
35,392308197,2019-08-05,U053443,73.182.94.20,o3zxribkqdnb.com,NORMAL,Pending,R011746,Error Handler,429 Too Many Requests,Logged when the user has sent too many requests in a given amount of time ('rate limiting').
648,570130374,2015-03-17,U035952,234.47.141.85,nopmh9tr2jmz.com,NORMAL,In Progress,R072061,Security System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
531,521122047,2020-03-14,U014844,180.86.252.137,6dhl5erxc28fd.com,NORMAL,Pending,R056436,Device,403 Forbidden,Logged when the server understands the request but refuses to authorize it. This can be due to lack of access rights to the resource.
49,658203012,2012-07-20,U002173,116.119.79.211,9vcjh2xr9os1l5g.com,DEBUG,Warning,R064387,Network,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
989,585513556,2020-01-25,U040869,127.186.8.55,bod9f1z1hvyx5x.com,NORMAL,Pending,R093083,Security System,410 Gone,Indicates that the resource requested is no longer available and will not be available again.
875,923772953,2012-12-11,U087463,113.108.108.157,l03h5je.com,NORMAL,Queued,R089425,Scheduler,406 Not Acceptable,Logged when the server cannot produce a response matching the list of acceptable values defined in the request's proactive content negotiation headers.
81,168577728,2016-07-18,U023553,106.141.90.228,tmj5qyom.com,INFO,Queued,R095035,Security System,405 Method Not Allowed,Occurs when a request method is not supported for the requested resource.
664,179212372,2021-11-17,U030404,216.71.140.20,0axd88ylpkkqwbj.com,NORMAL,Completed Successfully,R019151,Database,504 Gateway Timeout,"Logged when the server, while acting as a gateway or proxy, did not receive a timely response from the upstream server."
